Timestamp,Voltage(V),Current(A),Frequency(Hz),Power(kW),Power Factor,Temperature(C),Fault Type
2026-06-12 21:12:53,161.38,22.98,49.38,3.17,0.86,51.71,LL Fault
2026-01-08 00:24:27,199.08,18.05,49.61,2.99,0.83,44.62,LG Fault
2026-06-12 06:54:05,85.72,40.81,47.92,1.83,0.52,67.97,LLL Fault
2026-05-29 01:55:04,81.84,41.46,47.57,2.27,0.67,56.47,LLL Fault
2026-01-01 11:02:52,231.4,5.48,50.05,1.25,0.98,31.02,Normal
2026-07-06 09:27:49,158.51,23.34,48.67,3.16,0.85,54.69,LL Fault
2026-07-05 19:11:22,231.0,7.49,50.01,1.69,0.98,31.92,Normal
2026-07-09 01:22:42,228.56,6.27,49.91,1.42,0.99,25.04,Normal
2026-01-09 22:22:47,144.25,40.29,47.73,3.33,0.57,72.8,LLL Fault
2026-03-09 08:52:58,156.77,15.76,49.17,1.77,0.71,48.58,LL Fault
2026-02-19 22:53:13,115.24,41.33,47.25,2.45,0.51,72.33,LLL Fault
2026-05-22 06:08:25,139.2,43.86,47.98,4.16,0.68,55.79,LLL Fault
2026-02-28 02:39:07,182.91,20.86,48.78,2.8,0.73,44.26,LL Fault
2026-07-01 18:26:28,167.8,27.93,48.2,3.47,0.74,47.36,LLG Fault
2026-05-26 15:35:08,97.33,42.76,47.08,2.88,0.69,72.07,LLL Fault
2026-03-23 02:07:52,153.61,15.2,48.73,1.92,0.82,49.34,LL Fault
2026-06-21 03:42:49,149.65,42.08,47.55,4.38,0.7,62.7,LLL Fault
2026-04-30 19:20:46,159.21,24.31,49.28,3.44,0.89,47.3,LL Fault
2026-06-24 15:53:02,230.14,6.03,50.0,1.39,1.0,30.08,Normal
2026-01-03 17:29:59,169.76,33.58,48.08,3.67,0.64,54.42,LLG Fault
2026-01-10 07:21:35,230.15,7.08,49.98,1.63,1.0,31.0,Normal
2026-01-24 16:56:29,130.55,20.53,48.63,1.62,0.6,63.13,LLG Fault
2026-04-15 18:03:47,81.81,37.17,47.29,1.63,0.54,58.59,LLL Fault
2026-02-21 07:16:21,216.97,10.04,49.16,1.97,0.9,44.05,LG Fault
2026-06-21 16:35:51,231.18,5.12,50.1,1.18,1.0,25.63,Normal
2026-02-05 17:34:50,188.75,10.7,49.38,1.88,0.93,37.39,LG Fault
